日期,時間,活動名稱,地點,主講人,主持人,類型,備註,詳細內容
2026-02-03,11:00 - 12:00,2026第34屆台北國際書展開幕典禮,主題廣場,,,講座,,
2026-02-03,13:00 - 14:00,台灣刺青40年變形記：《從破少年到酷小孩：台灣刺青師1980-2020》,主題廣場,其師、天天、張玉音、徐珍浩、李翔,,講座,《從破少年到酷小孩：台灣刺青師1980-2020》為野点no...,《從破少年到酷小孩：台灣刺青師1980-2020》為野点nodate所推出針對台灣刺青文化歷史美學分析的專書。在前網路時代，台灣刺青師的生存處境與營運、師承是極少數被記錄下來，本座談邀請本書作者張玉音，以及收錄的國寶級刺青師其師、其以日式刺青聞名的大弟子天天，再邀請同樣收錄於該書的中生代美式刺青徐珍浩，及棺材蟋蟀共同創辦人李翔。一同回訪1980年到2010年間台灣傳統刺青與美式刺青的營運實景，無論是以昂貴的價格透過書店代理商進口畫冊，或是前往傳統宮廟觀摩聖獸、神話題材與造型，如何練就一身手繪直上（free hand）的高超實力，到翻山越嶺打越洋三方電話訂購刺青器材，在沒有社群媒體時代如何透過小啟廣告做出口碑。當刺青成為台灣運動員在國際賽事上一抹不可忽視的風景，台灣的文化意義透過刺青這項媒材傳達何種瑰寶般記憶。
2026-02-03,14:15 - 15:15,讀墨電子書2026年度計畫,主題廣場,講者：龐文真（讀墨電子書執行長）,,講座,讀墨電子書，一直以提供讀者最完整閱讀體驗為目標。2026年讀...,讀墨電子書，一直以提供讀者最完整閱讀體驗為目標。2026年讀墨有一系列計畫，提升使用體驗，讓讀者找書、買書、看書之間的落差化為零，更易用的介面，更直覺操作，連閱讀器的體驗也將與網頁更接近。 2026台北書展，讀墨將與合作夥伴一同公布相關計畫，讀者不只可以了解電子書最新方向，更可以立即體驗最新技術。讀墨也感謝讀者，提供了數千年的願望，激勵我們永不懈怠，持續進步，將願望實現。 讀墨14歲，就從台北書展開始新的一頁！
2026-02-03,15:30 - 16:30,重返文學現場：香港文學經典如何在台灣被重寫,主題廣場,沐羽 X 梁莉姿,,講座,近年香港文學在台灣掀起一波「再版潮」：從劉以鬯的現代主義書寫...,近年香港文學在台灣掀起一波「再版潮」：從劉以鬯的現代主義書寫、西西的跨語言敘事，到也斯的詩與散文，這些曾在香港文學史中奠定位置的作品，重新進入書店、課堂與讀者視野。然而，再版是一場伴隨著編輯選擇、閱讀期待與文化轉譯的再創造過程。 兩位講者將從不同角度討論，當香港文學經典進入台灣的閱讀場域，哪些主題被放大？哪些語境被重新理解？而「經典」本身是否也在這個過程中被改寫？本場講座將帶領讀者回到香港文學的歷史現場，並同時檢視經典在當代如何被閱讀與再思。
2026-02-03,16:45 - 17:45,《財商：不費力才會贏》新書發表會,主題廣場,吳淡如,,講座,吳淡如的Podcast《人生實用商學院》下載破十億，在小資族...,吳淡如的Podcast《人生實用商學院》下載破十億，在小資族跟上班族群裡黏著度一直很高。這次講座會講她新書裡的「R.I.C.H. 心法」心態、紀律、複利、風險控管，主要是拆解大家在理財時最容易忽略的心理盲點，用實際例子示範怎麼做。 不會講艱深的專業術語，就是用故事跟她自己的經驗去解釋財務邏輯。內容橫跨理財、心理跟自我成長，話題性足夠，也能延伸到不同平台討論。 吳淡如本身文法商三個領域都有涉獵，加上多年投資跟創業經驗。她的公開活動向來人潮穩定、停留效果好。這次結合她的聲量跟實用內容，應該會是書展亮點之一。
2026-02-03,10:30 - 11:30,風的回聲──《大風之島：我與樂生的二十年羈絆》新書發表會,藍沙龍,許雅婷、張馨文、黃詠光,,沙龍講座,風的回聲──《大風之島：我與樂生的二十年羈絆》新書發表會 本...,風的回聲──《大風之島：我與樂生的二十年羈絆》新書發表會 本次沙龍講座為《大風之島：我與樂生的二十年羈絆》新書發表會。導演許雅婷前後花費近二十年的時間，完成紀錄片《大風之島》，不僅呈現樂生療養院拆遷的抗議行動歷程，也留下了院民阿公阿媽們的身影。他們如何驅動殘弱的身體、展現堅定的意志，去面對巨大的政治角力。而本書則紀錄了在影像之外，作者許雅婷於這二十年拍攝間的種種思考，從最初的投入，中間的暫離，到後續決定再投入，與夥伴張馨文、黃詠光提筆紀錄下關於樂生的一切，這些都是無法在紀錄片中呈現的掙扎、反思，以及對樂生院裡阿公阿媽們深深的情感與思念。
2026-02-03,10:30 - 11:30,再來一顆好球！──《球魂的軌跡：日本野球誕生物語》新書分享會,黃沙龍2F,朱宥任,,沙龍講座,再來一顆好球！──《球魂的軌跡：日本野球誕生物語》新書分享會...,再來一顆好球！──《球魂的軌跡：日本野球誕生物語》新書分享會 本次沙龍講座為朱宥任的最新著作：《球魂的軌跡：日本野球誕生物語》，整理與介紹日本的棒球歷史，交代清楚日本棒球的脈絡，也能重新理解台灣棒球的地位。放眼臺灣市面，談論日本棒球歷史資料已經不多，而在日本脈絡下開始發展的臺灣棒球，相關的東西同樣稀少。明明無論是當時日本棒球最高殿堂的六大學，還是職棒的草創期，或者綿延百餘年至今的聖地甲子園，都能看到臺灣選手奮戰其中，打出傲人表現的英姿，這些歷史卻被深深埋沒，實為可惜。
2026-02-03,10:30 - 11:30,KUMON樂閱讀 聽故事，玩手作!,兒童沙龍,芋泥姐姐,,沙龍講座,適合年齡:3歲以上(5歲以下請至少1位家長陪同) 學習要點:...,適合年齡:3歲以上(5歲以下請至少1位家長陪同) 學習要點:閱讀力X專注力X手眼協調力 加入KUMON的閱讀行列，培養孩子們的閱讀興趣，並鼓勵親子共讀， 邀請芋泥姐姐帶來精采好玩的說故事活動，結合SDGs理念，培養孩子的國際視野與社會責任感，成為改變世界的小小種子。再搭配好玩的DIY手作活動，把自己親手完成的作品帶回家! 芋泥姐姐簡介:現為舞台劇演員與主持人，擁有兒童台豐富的表演與帶動經驗，擅長以溫柔的方式引導孩子，讓每個孩子歡樂中自信成長。 收費課程:99元/人 需提前預先報名，育家圓eshop官網報名：https://lihi.cc/9jmKY DIY手作活動:由老師帶著孩子動手打造文具收納盒，孩子們在聽了冒險故事後，親手打造自己的文具收納盒，陪伴孩子繼續在生活中延伸語文力、觀察力、創造力。 *白膠組裝安全簡單，完成後可把成品帶回家(商品材質:主體為合板3mm(環保可回收)商品尺寸:長20.5*寬8*高4cm
2026-02-03,10:30 - 11:30,英文老師教學比賽,紅沙龍,劉毅老師,,沙龍講座,英文老師教學比賽 決賽: 1.2026年2月3日(二)上午1...,英文老師教學比賽 決賽: 1.2026年2月3日(二)上午10:30~11:30 2.比賽地點:台北市信義區五段5號(世貿一館紅沙龍) 3.第一名:獎金10，000元 第二名:獎金5，000元 第三名:獎金3，000元 第四~十名:獎金1，000元 比賽辦法: 從「完美英語人生智慧語錄」中，自 行挑選9句話，能協助同學，於最短 時間內背完者，為第一名。 不需要解釋文法，不需要翻譯，只需 要帶同學唸，目標是讓同學背好。
2026-02-03,10:30 - 11:30,《可口的飢餓》新書分享會,國際沙龍,海凡,,沙龍講座,他挖掘馬共叢林裡豐富的藏糧，寫出文學書頁間一直餓著的馬共。 ...,他挖掘馬共叢林裡豐富的藏糧，寫出文學書頁間一直餓著的馬共。 十三年征戰，十一篇小說。蒼鬱雨林猶在，裡頭行色匆匆的角色一一猶在；一些人看見，一些人忽略，一些人遺忘。
2026-02-03,11:45 - 12:45,泰國ｘ香港民主經驗談：《奶茶聯盟》新書對談活動,國際沙龍,沐羽、梁震牧,,沙龍講座,從觀光、影視、廣告到童書，台灣社會這幾年對於泰國文化非常有感...,從觀光、影視、廣告到童書，台灣社會這幾年對於泰國文化非常有感。但其實，泰國也是「奶茶聯盟」這個非正式民主價值聯盟的創始成員。泰國與台灣、香港、緬甸等地的民主與社會運動者，多年來互相交換情報、互相砥礪與打氣，希望在各自國家爭取更好的民主、自由與人權標準。 藉由新書《奶茶聯盟：泰國、緬甸與香港，亞洲民主運動如何互相幫助與組織抗中網路》出版的契機，衛城出版特地邀請本書譯者暨香港作家沐羽，以及近年推廣泰國文化與國內新聞不遺餘力的資深譯者與社群KOL梁震牧，進行一場跨國跨界的對談。席間兩位講者將交換各自的社會運動參與經驗，以及對泰國、香港、台灣三地的觀察。聽眾朋友們除了將會聽到兩地追求民主的故事，也能從中對泰國、香港的社會，以及這兩地社會與台灣的連結，有更多了解。 本場活動預計也將邀請人在美國的作者、知名漢學家華志堅（Jeffrey Wasserstrom），藉由錄影分享的方式與現場聽眾朋友們互動，讓大家更理解這本書的內容，以及一個跨越整個東亞的價值聯盟，過去十年來如何逐漸成形。 《奶茶聯盟》作者介紹： 華志堅（Jeffrey Wasserstrom），加州大學爾灣分校歷史系「校長講座教授」（Chancellor's Professor），專治中國史與全球史，尤其是近代史上的學潮與青年抗爭運動。曾任《亞洲研究期刊》與《社會史》編輯，著有《中國一把抓》、《守夜：邊緣上的香港》等通俗歷史著作，亦主編專業的《牛津圖解現代中國史》。教學研究之餘亦積極參與學院外的知識推廣工作，曾在美國國會及行政當局中國委員會作證、替美國國務院舉辦當代中國政治簡報會，並以顧問身分出席香港國際文學節。 主要對談人介紹： 沐羽，來自香港，落腳台北，寫小說散文評論。著有小說集《煙街》，散文集《痞狗》及《造次》。曾獲OPENBOOK好書獎、台北國際書展大獎首獎，入選九歌散文選，入圍臺北文學獎年金。 主要對談人介紹： 梁震牧，資深泰文譯者，長期推廣泰國文化與知識，經營粉絲社群「泰譯聞」。曾經翻譯《迷宮中的盲眼蚯蚓》、《2gether》、《模犯生》及《（P）》等泰國小說和電影。
2026-02-03,11:45 - 12:45,故宮文物與成語故事新書發表會,黃沙龍2F,馮明珠,,沙龍講座,「以文物說故事、以成語傳智慧，讓文化在生活中發光。」 本活動...,「以文物說故事、以成語傳智慧，讓文化在生活中發光。」 本活動旨在透過故宮典藏文物與經典成語的結合，讓觀眾在欣賞藝術之美的同時，理解成語背後的歷史意涵與文化精神。 邀請本書主編國立故宮博物院前院長 馮明珠進行現場介紹本書主題及出版動機，並於發表會後進行簽書活動。希望藉由本書出版與新書發表會的舉辦，推廣「文物活化」與「語文教育」的融合，讓成語不再只是課本上的文字，而成為連結古今、啟發創意的文化橋樑。
2026-02-03,11:45 - 12:45,五十歲後，我回老家看老媽,紅沙龍,彭菊仙,,沙龍講座,繼《50歲後我出去一下》，暢銷作家彭菊仙的最新力作《五十歲後...,繼《50歲後我出去一下》，暢銷作家彭菊仙的最新力作《五十歲後，我回老家看老媽》。當我們步入中年，往往以為人生進入了「相對安穩」的階段；然而父母的老化、失能與照護議題，常讓人措手不及。《五十歲後，我回老家看老媽》以溫柔卻直視現實的筆調，帶領讀者重新理解「父母老後、子女再成長」的人生課題。 本場沙龍將從彭菊仙的親身經驗出發，談失智症的日常衝擊、陪伴與放手的拉扯，以及如何在混亂與心碎之間，找回與父母的情感連結。活動延伸至每個人都必須面對的老後議題──如何預備自己的晚年？如何透過回望原生家庭，梳理下一段人生？ 這是一場適合熟齡讀者、照護者，以及正面臨家庭變化的所有人，一起誠實面對生命課題的對談。
2026-02-03,11:45 - 12:45,FunPark童書夢工廠 ×《小山羌與小樹葉》的AR森林閱讀冒險,兒童沙龍,楊子葦、咖哩姐姐,,沙龍講座,「FunPark童書夢工廠」榮獲第49屆金鼎獎「數位出版類—...,「FunPark童書夢工廠」榮獲第49屆金鼎獎「數位出版類—數位創新獎」，以AR擴增實境技術導入互動閱讀，開創了兒童電子書全新的體驗形式。其中，由作家楊子葦與FunPark共同合作的《小山羌與小樹葉》AR行動劇場版互動電子書，更以創新敘事與技術融合獲得一致好評。 本次活動以「AR行動劇場 × 繪本故事演出」為主軸，邀請作家楊子葦與兒童說故事人氣講師咖哩姐姐同台合作，透過現場AR擴增實境技術，讓繪本角色從書頁跳出，與觀眾即時互動，帶領孩子進入台灣山林的奇幻世界。 活動融合繪本創作、聲音表演與數位互動體驗，不僅展現金鼎獎作品的創新精神，也推廣台灣原創繪本與在地自然生態之美。透過「故事力 × 數位力 × 想像力」的跨界呈現，讓孩子在閱讀中體驗故事與科技交織的感動。
2026-02-03,11:45 - 12:45,時光逆流：從 2026 漫步回 2000年,藍沙龍,蔡智恆、吳子雲（藤井樹）、東曄（穹風）、姜泰宇（敷米漿）,,沙龍講座,2026台北國際書展 POPO原創作者群系列講座。邀請網路小...,2026台北國際書展 POPO原創作者群系列講座。邀請網路小說4位天王級作者：蔡智恆、吳子雲（藤井樹）、東曄（穹風）、姜泰宇（敷米漿）來談談2000年讓他們聲名大噪的經典作品，並介紹2026年新推出的短篇續作，然後聊未來他們的規劃，最後再舉辦小型簽書會。
2026-02-03,12:00 - 12:30,<世界的 A-SUN WU> 與你相遇在2026台北國際書展,直播室,吳怡伸,,直播活動,藉由直播方式，YouTuber 吳怡伸會介紹2026台北國際...,藉由直播方式，YouTuber 吳怡伸會介紹2026台北國際書展，和吳炫三工作室參展的內容和展區的特別活動--〈來到會場送限量神秘小禮物 〉。此外，還會藉由分享吳炫三的創作故事與旅行人生，以期吸引更多民眾入場參觀，也讓大家可以和世界的 A-SUN WU相遇。
2026-02-03,13:00 - 14:00,阿媽來收驚--臺灣傳統文化習俗最有溫度的關愛和包容,紅沙龍,林秋萍 周子涵,,沙龍講座,擁有彩色玻璃心的小妖怪阿金，化身各種怪怪的造型想親近小朋友，...,擁有彩色玻璃心的小妖怪阿金，化身各種怪怪的造型想親近小朋友，結果把對方嚇壞了！ 透過阿媽的「收驚」儀式拜請神明，除了認識臺灣傳統文化習俗，阿金妖怪和小朋友的互動從驚嚇→理解→扶持，發展成好朋友，是「生命教育」、「社會情緒教育」最貼切的繪本。 作者林秋萍、繪者周子涵帶領小朋友和小妖怪阿金來到現場，除了與來賓互動，也一起體驗臺灣阿媽的溫柔收驚！
2026-02-03,13:00 - 13:30,心情低落的魔法咒語,直播室,Psyche老師&陳麗雯,,直播活動,情緒來時，孩子該怎麼辦？台大心研所臨床組碩士Psyche老師...,情緒來時，孩子該怎麼辦？台大心研所臨床組碩士Psyche老師與正向教養講師陳麗雯，將以《心情低落的魔法咒語》陪伴國小生認識情緒、練習自救技巧。透過簡單好記的步驟，幫助孩子在日常中安定情緒、調整心情，找到安心依靠的力量。
2026-02-03,13:00 - 14:00,短小說X短小說：燈塔下的幻夢與西屯區的浪漫,黃沙龍2F,陳艾琪（《最高品質靜悄悄》作者）、張簡士湋（《風之少年團》作者）、許立衡（敘事鋸主編）,,沙龍講座,敘事鋸將於今年推出「敘事鋸短小說」系列作品。首發為入圍紅樓詩...,敘事鋸將於今年推出「敘事鋸短小說」系列作品。首發為入圍紅樓詩社出版贊助決選的兩篇作品：《最高品質靜悄悄》為有著 city pop 風味的都會成熟男女情事，而《風之少年團》則是南方海港小鎮少年們的憧憬幻想。
2026-02-03,13:00 - 14:00,翻譯的玫瑰：在不同譯本裡遇見〈小王子〉,兒童沙龍,楊茂秀/阮若缺,,沙龍講座,本活動以《小王子》全新法文直譯版為核心，結合作者導讀與觀眾參...,本活動以《小王子》全新法文直譯版為核心，結合作者導讀與觀眾參與式討論，打造一場以「閱讀即對話」為理念的〈旋轉思考沙龍〉。引導讀者從文本中的哲學意涵出發，交換觀點、提出問題，讓經典作品在現場生成新的理解與回響。參與者不僅能認識新譯版本的特色，也能在思辨與對話中獲得獨特的閱讀體驗。我們期望讓每位讀者帶走的不只有一本書，更是一個願意持續思考的行動問題。
2026-02-03,13:00 - 14:00,從失語到微光：原住民族白色恐怖的跨世代記憶之路,藍沙龍,Liglav A-wu (利格拉樂·阿女烏),,沙龍講座,排灣族作家利格拉樂·阿女烏Liglav A-wu帶來全新白色...,排灣族作家利格拉樂·阿女烏Liglav A-wu帶來全新白色恐怖書寫散文集，以自身經驗觸發對原住民族政治受難者及其家屬、乃至族群的溫柔觀照。阿女烏在尋訪一個個隱身政治案件中的原住民族受難者途中，切身感受到威權統治的「山地治理」遺緒，至今仍未解消。也盼望藉由本書的出版，讓更多塵封的歷史得以綻現光亮。
2026-02-03,13:00 - 14:00,台菜是什麼？──《台灣製造》新書發表會,國際沙龍,魏貝珊（《台灣製造》作者）,,沙龍講座,《台灣製造》以逾120道台菜的故事與食譜，在美國飲食文化圈造...,《台灣製造》以逾120道台菜的故事與食譜，在美國飲食文化圈造成轟動，讓副總統蕭美琴都表示本書是她推薦的台灣認同重點書！作者魏貝珊將分享如何透過飲食在國際上訴說台灣的故事，傳達傳統美食背後的精神與認同。
2026-02-03,14:00 - 14:30,創造美、傳遞愛――《讓世界更美麗：花婆婆芭芭拉．庫尼的藝術人生》,直播室,方素珍,,直播活動,著名的兒童文學作家――方素珍，同時也是《讓世界更美麗：花婆婆...,著名的兒童文學作家――方素珍，同時也是《讓世界更美麗：花婆婆芭芭拉．庫尼的藝術人生》的譯者，將在2026年台北國際書展期間帶來精采的親子閱讀活動，了解花婆婆芭芭拉‧庫尼的故事與人生精神，引導孩子思考「什麼是讓世界更美麗的事」，透過藝術創作，實踐「美從心開始」的理念。
2026-02-03,14:00 - 15:00,泰國館開幕招待會：點燃閱讀之光,泰國主題國館,,,講座,,
2026-02-03,14:15 - 15:15,【麻吉貓情緒繪本系列】新書親子故事活動,兒童沙龍,衣服老師,,沙龍講座,一、活動主旨：新書【麻吉貓情緒繪本系列】（共三冊）的新書親子...,一、活動主旨：新書【麻吉貓情緒繪本系列】（共三冊）的新書親子故事活動。 二、活動內容：台灣原創IP「麻吉貓」首次出版繪本形式作品，活動中將包含說故事親子活動、麻吉貓人形偶活動。期望在國際書展期間提供親子豐富、有趣、好玩的閱讀體驗。同時展現台灣原創IP的出版活力。
2026-02-03,14:15 - 15:15,共下來寫客文——七位當代客籍作家的全新客語文學創作,國際沙龍,高翊峰、李旺台、張郅忻、吳鳴、張芳慈、羅思容,,沙龍講座,甘耀明、高翊峰、李旺台、張郅忻、吳鳴、張芳慈、羅思容，七位當...,甘耀明、高翊峰、李旺台、張郅忻、吳鳴、張芳慈、羅思容，七位當代客籍作家在過去一年中，參與客委會「客語文學作家創作計畫」，交出了亮眼的成績。本次書展，我們邀請作者現身國際沙龍，淺談這次客語創作經驗，與各自的創作主題，他們各自的創作成果也在書展亮相。
2026-02-03,14:15 - 15:15,《卡拉馬助夫兄弟們》：自由與審判的救贖,藍沙龍,邢泰釗（檢察總長）、既晴（恐怖、犯罪小說家）,,沙龍講座,【推理小說總是執著於邏輯的完美，檢察制度則承擔著情理與程序的...,【推理小說總是執著於邏輯的完美，檢察制度則承擔著情理與程序的多重考量。「文學探案 x 真相追擊」為核心的「神探」講座邀請讀者進入故事與現場的雙重審判室——一邊解謎，一邊思辯，一邊感受文學之所以動人，一邊理解司法之所以必要。這裡沒有唯一標準答案，只有更多值得提問的角度與細節。】 文學創作中舉凡犯罪、推理之情節，或多或少將涉及警方辦案、偵查、鑑識等內容，然而文學創作的想像與實務之間，是否有所落差，或者在兩種專業的互動和激盪下，可能帶給讀者哪些不僅止於閱讀的想法？本活動邀請最高檢察署檢察總長，與知名犯罪小說家既晴進行對談，是相當少見的組合，也可以從中看見司法與民眾生活的距離並不遙遠。
2026-02-03,14:15 - 15:15,「臺灣關係法與臺美關係發展」新書發表暨座談會,紅沙龍,陳儀深、林佳龍、張國城、陳怡凱、賴怡忠,,沙龍講座,「臺灣關係法」歷經美國國會多場聽證會、辯論及審議等過程，為管...,「臺灣關係法」歷經美國國會多場聽證會、辯論及審議等過程，為管理美臺關係指導性文書，彰顯國會對臺支持。國史館出版其立法歷程文獻選譯4冊，從國關、外交、國際法多重視角，探討「臺灣關係法」與臺美關係展望。
2026-02-03,14:15 - 15:15,【金蝶獎講座】《臺灣活版時代》,黃沙龍2F,高鵬翔,,沙龍講座,金獎設計師高鵬翔，費時五年，從個人訪查、全書圖文創作到設計。...,金獎設計師高鵬翔，費時五年，從個人訪查、全書圖文創作到設計。講座中將以圖文並陳的方式解說臺灣活版印刷技術的關鍵四步驟：鑄（字）→檢（字）→排（版）→印（刷），期望藉此記錄下這個已然沒落、卻未完全消失的傳統產業。
2026-02-03,15:00 - 15:30,《小光的繪本書店》新書分享會：黃惠綺與石井 彩 社長的書房對談時間,直播室,黃惠綺/石井 彩 社長,,直播活動,這是送給努力築夢的人的療癒繪本，同時也是一本充滿閱讀交流的繪...,這是送給努力築夢的人的療癒繪本，同時也是一本充滿閱讀交流的繪本，更是關於當你發現自己為別人竭盡心力做了所有事情時，也要記得照顧好自己的繪本。故事當中喜歡繪本的小光開了一間繪本書店，卻在忙碌中失去享受閱讀繪本的快樂，她能找回夢想的初衷堅持下去嗎？本書譯者兼原書創作企劃黃惠綺將偕同日本虹野繪本屋的石井 彩社長現場和讀者們分享這個關於書店裡發生的故事，邀請大家一起來聽故事囉！
2026-02-03,15:30 - 16:30,第1屆金眷獎頒獎典禮,藍沙龍,台北市文化局長蔡詩萍、 貴賓李永萍前副市長、 謝小韞前文化局長眷村雜誌總編輯 、 王壽來前文化部文資局局長、 評審代表陳穎青,,沙龍講座,為增進國人認識中華民國遷台史，支持並提升眷村文化保存工作，由...,為增進國人認識中華民國遷台史，支持並提升眷村文化保存工作，由全國眷村文化保存聯盟於民國115年特別設置「金眷獎」，來鼓勵民眾閱讀1949民國史。獎勵對象分二類:1. 獎勵出版有關中華民國遷台發展史或保存眷村文化之圖書或出版事業。2. 獎勵對推動中華民國遷臺史或保存眷村文化有具體貢獻之單位或個人。獎勵項目分四類:1.一般圖書獎 2.兒童及少年圖書獎 3.政府出版品獎 4.特別貢獻獎。得獎的單位與個人，將於愛書人最重要的盛會—2026台北國際書展會場舉辦頒獎典禮。這是出版者與作者的榮耀時刻！
2026-02-03,15:30 - 16:30,【書展大獎講座】閃電的遠方與近處，《七月爍爁》的前世今身,黃沙龍2F,林俊頴,,沙龍講座,「遠方照耀近處，近處照亮遠方。」關於斗鎮、關於生命、關於自己...,「遠方照耀近處，近處照亮遠方。」關於斗鎮、關於生命、關於自己，用第一人稱看死亡、語言、疾病、文明的開發，邀請作者分享，《七月爍爁》是如何寫成的？
2026-02-03,15:30 - 16:30,歌聲與族群：談原住民文化、音樂與社會運動,紅沙龍,胡德夫,,沙龍講座,本場講座邀請胡德夫，卑南族與排灣族混血音樂創作者、社會運動者...,本場講座邀請胡德夫，卑南族與排灣族混血音樂創作者、社會運動者，被譽為「台灣民歌之父」及「台灣原住民運動先驅」。講座將回顧他自臺東大武山部落成長的經驗，以及如何以音樂表達族群認同、民主理念與社會關懷。胡德夫將分享從早期駐唱、民歌運動到創作專輯的歷程，並談及歌曲如何在戒嚴時期、社會運動與原住民權益倡議中發揮影響。 講座亦將探討胡德夫的創作如何反映南島族群文化與生活記憶，例如部落傳統、自然景觀與族群故事；他將介紹重要作品以及音樂背後的人生經驗與社會使命。參與者可透過音樂與故事，理解原住民文化如何透過創作傳達族群情感、歷史記憶與社會正義訴求。 這場講座兼具音樂欣賞、文化觀察與社會反思，適合對台灣原住民歷史、民歌運動及族群文化感興趣的聽眾參加。
2026-02-03,15:30 - 16:30,《魔法列車Go!Go!Go!》故事童樂會X作家見面會,兒童沙龍,劉克襄、湯瑪士瑞杰可、小珠姐姐,,沙龍講座,在世界上，搭火車去旅行，哪裡最便利又便宜呢？台灣，或許是最好...,在世界上，搭火車去旅行，哪裡最便利又便宜呢？台灣，或許是最好的答案。《魔法列車Go!Go!Go!》收錄台灣八個車站舊時風景，從高雄往北環台一圈，開啟台灣鐵道環島之旅。本活動將邀請故事老師小珠姐姐為孩子說故事，以動感音樂帶動唱跳和遊戲，帶領孩子搭上環島列車認識美麗台灣。本書作者劉克襄、繪者湯瑪士．瑞杰可也將來到現場與讀者見面，帶領小小讀者走進故事中，分享他們的火車回憶，與大小朋友一起同歡。活動結束後，將移至出版社攤位，由兩位作者為讀者簽書交流。 【《魔法列車Go!Go!Go!》故事時間X唱跳遊戲】 一、歡樂律動暖場：以輕快的樂曲和大小讀者來一場歡樂式的開場 二、故事說演：以充滿故事性的聲音和豐富肢體呈現故事《魔法列車Go!Go!Go!》 三、故事延伸活動：乘坐火車遊台灣，和大小讀者遊戲，加深小讀者對故事的記憶 ＊凡參與活動的小朋友，能獲得「魔法列車插畫明信片」一份。數量有限，送完為止。
2026-02-03,15:30 - 16:30,小小讀者，大大故事：泰國兒童文學新視界,國際沙龍,拉塔娜・科查納特 ， 桑普拉帕・烏迪沃恩,,沙龍講座,泰國兒童今日閱讀什麼？什麼故事正在塑造他們的未來？ 本次座談...,泰國兒童今日閱讀什麼？什麼故事正在塑造他們的未來？ 本次座談會將探討泰國兒童繪本市場的趨勢、挑戰與機會。 歡迎與知名繪本創作者 拉塔娜・科查納特 (Rattana Kodchanart) 和 桑普拉帕・烏迪沃恩 (Sanprapha Vudhivorn) 展開對話。他們將分享作者和插畫家應如何創作故事，使其與當今兒童成長的世界產生共鳴——同時也回應不斷變化的閱讀習慣和數位媒體的影響。
2026-02-03,16:00 - 16:30,《阿母佇佗位?阿爸佇佗位?和紅嬰仔做伙讀台語有聲書》新書分享暨簽書會,直播室,林采風,,簽書會,對在台南學甲長大的采風來說， 講台語是一種能讓兩個不認識的陌...,對在台南學甲長大的采風來說， 講台語是一種能讓兩個不認識的陌生人，瞬間變朋友的魔法語言！ 《阿母佇佗位?阿爸佇佗位?和紅嬰仔做伙講台語有聲書》 是作者林采風繼《我的章魚媽媽》後， 寫給孩子、也寫給父母的一本「台語」繪本。 她以兩句溫柔並帶著對孩子期盼的重覆話語， 陪伴孩子在分離時建立起內心的安全感， 這次的分享會，采風將親自和大家聊聊， 為什麼她會選擇用台語創作? 為什麼「台語」對她來說不只是語言，而是情感的載體，是家庭裡的聲音? 邀請您和我們一起，用這個「魔法語言」， 陪伴孩子安心長大，也讓語言的溫度在生活裡延續。
2026-02-03,16:30 - 17:30,MTRD.S《獵愛殺手》新書發布暨簽書會,泰國主題國館,,,簽書會,Renowned Thai BL author MTRD.S...,Renowned Thai BL author MTRD.S is set to release the Traditional Chinese edition of PEREMO in Taiwan. The event will feature the author sharing insights about the new book， engaging with local fans， and signing copies.
2026-02-03,16:45 - 17:45,春風吹拂的花田記憶——陳二源《花農之子》新書對談,紅沙龍,陳二源、謝凱特,,沙龍講座,陳二源《花農之子》以家族花農生活為主軸，細膩描寫農村日常與生...,陳二源《花農之子》以家族花農生活為主軸，細膩描寫農村日常與生命脈絡。散文回顧童年成長、家庭變遷，以及種植花卉的辛勞與堅持，展現土地與人情的深厚連結。 《花農之子》是代代相傳的生活記憶，呈現台灣農村的美與生命力。本場次對談由作者陳二源與作家謝凱特，分享散文創作中的個人經驗與集體回憶，生命脈絡與文化底蘊。
2026-02-03,16:45 - 17:45,當奇幻小說《獸靈之詩》遇上XR劇場《頭骨的召喚》：科技✕劇場✕文學改編的一百萬種可能！,藍沙龍,邱常婷、僻室House Peace,,沙龍講座,獸靈現身，台灣魔變──台灣奇幻小說《獸靈之詩》結合殖民歷史、...,獸靈現身，台灣魔變──台灣奇幻小說《獸靈之詩》結合殖民歷史、政治局勢、未來寓言，再揉合禁忌刺激的情愫及華麗的魔法對決，鑄造出一段毀滅與新生的磅礡旅程。 如今，這段旅程經歷「形變」，與台灣劇團「僻室House Peace」、科技藝術團體「在地實驗」攜手打造融合虛擬實境（VR）、混合實境（MR）與現場表演的《獸靈之詩：頭骨的召喚》XR劇場，讓戴上頭顯的觀眾將化身學徒，踏上一趟虛實交錯的復生之途——體驗心碎心醉，又使人怦然心動的冒險體驗。 在這場講座中，原作作者邱常婷將和僻室House Peace劇團一同暢聊，文學、科技與劇場之間將如何對話與轉化，虛擬與現實的體驗又該如何被創造！
